period,province,district,data_type,count
2018-01-01,Western,Sioma,Confirmed,5818
2018-01-01,Western,Sioma,Confirmed_Passive_CHW,2103
2018-01-01,Western,Sioma,Tested,256
2018-01-01,Western,Sioma,Tested_Passive_CHW,4050
2018-01-01,NA,NA,Confirmed_Passive_CHW,63
2018-01-01,NA,NA,Tested_Passive_CHW,111
2018-02-01,Central,Chibombo,Clinical,52
2018-02-01,Central,Chibombo,Confirmed,2145
2018-02-01,Central,Chibombo,Tested,7822
2018-02-01,Central,Chisamba,Confirmed,1730
2018-02-01,Central,Chisamba,Tested,6567
2018-02-01,Central,Chitambo,Clinical,14
2018-02-01,Central,Chitambo,Confirmed,4170
2018-02-01,Central,Chitambo,Tested,3423
2018-02-01,Central,Itezhi-tezhi,Confirmed,626
2018-02-01,Central,Itezhi-tezhi,Confirmed_Passive_CHW,629
2018-02-01,Central,Itezhi-tezhi,Tested,3590
2018-02-01,Central,Itezhi-tezhi,Tested_Passive_CHW,1910
2018-02-01,Central,Kabwe,Clinical,80
2018-02-01,Central,Kabwe,Confirmed,3224
2018-02-01,Central,Kabwe,Tested,12064
2018-02-01,Central,Kapiri-Mposhi,Clinical,291
2018-02-01,Central,Kapiri-Mposhi,Confirmed,22752
2018-02-01,Central,Kapiri-Mposhi,Tested,26839
2018-02-01,Central,Luano,Confirmed,2326
2018-02-01,Central,Luano,Tested,5998
2018-02-01,Central,Mkushi,Clinical,133
2018-02-01,Central,Mkushi,Confirmed,6823
2018-02-01,Central,Mkushi,Tested,9410
2018-02-01,Central,Mumbwa,Confirmed,671
2018-02-01,Central,Mumbwa,Confirmed_Passive_CHW,762
2018-02-01,Central,Mumbwa,Tested,4623
2018-02-01,Central,Mumbwa,Tested_Passive_CHW,2944
2018-02-01,Central,Ngabwe,Confirmed,667
2018-02-01,Central,Ngabwe,Tested,2707
2018-02-01,Central,Serenje,Clinical,8
2018-02-01,Central,Serenje,Confirmed,6042
2018-02-01,Central,Serenje,Tested,8350
2018-02-01,Central,Shibuyunji,Clinical,27
2018-02-01,Central,Shibuyunji,Confirmed,242
2018-02-01,Central,Shibuyunji,Confirmed_Passive_CHW,7
2018-02-01,Central,Shibuyunji,Tested,655
2018-02-01,Central,Shibuyunji,Tested_Passive_CHW,116
2018-02-01,Copperbelt,Chililabombwe,Clinical,22
2018-02-01,Copperbelt,Chililabombwe,Confirmed,4035
2018-02-01,Copperbelt,Chingola,Clinical,1554
2018-02-01,Copperbelt,Chingola,Confirmed,7772
2018-02-01,Copperbelt,Chingola,Tested,214
2018-02-01,Copperbelt,Kalulushi,Confirmed,7134
2018-02-01,Copperbelt,Kalulushi,Tested,14284
2018-02-01,Copperbelt,Kitwe,Clinical,2852
2018-02-01,Copperbelt,Kitwe,Confirmed,15714
2018-02-01,Copperbelt,Kitwe,Tested,16923
2018-02-01,Copperbelt,Luanshya,Clinical,416
2018-02-01,Copperbelt,Luanshya,Confirmed,8741
2018-02-01,Copperbelt,Luanshya,Tested,7036
2018-02-01,Copperbelt,Lufwanyama,Clinical,681
2018-02-01,Copperbelt,Lufwanyama,Confirmed,13873
2018-02-01,Copperbelt,Lufwanyama,Tested,3884
2018-02-01,Copperbelt,Masaiti,Clinical,391
2018-02-01,Copperbelt,Masaiti,Confirmed,13641
2018-02-01,Copperbelt,Masaiti,Tested,759
2018-02-01,Copperbelt,Mpongwe,Clinical,1438
2018-02-01,Copperbelt,Mpongwe,Confirmed,12908
2018-02-01,Copperbelt,Mufulira,Clinical,804
2018-02-01,Copperbelt,Mufulira,Confirmed,4286
2018-02-01,Copperbelt,Ndola,Clinical,1037
2018-02-01,Copperbelt,Ndola,Confirmed,7474
2018-02-01,Copperbelt,Ndola,Tested,108
2018-02-01,Eastern,Chadiza,Clinical,2
2018-02-01,Eastern,Chadiza,Confirmed,4972
2018-02-01,Eastern,Chadiza,Tested,10119
2018-02-01,Eastern,Chasefu,Clinical,280
2018-02-01,Eastern,Chasefu,Confirmed,3790
2018-02-01,Eastern,Chasefu,Tested,9082
2018-02-01,Eastern,Chipangali,Confirmed,7146
2018-02-01,Eastern,Chipangali,Tested,18280
2018-02-01,Eastern,Chipata,Clinical,88
2018-02-01,Eastern,Chipata,Confirmed,6121
2018-02-01,Eastern,Chipata,Tested,27846
2018-02-01,Eastern,Kasenengwa,Clinical,1
2018-02-01,Eastern,Kasenengwa,Confirmed,2168
2018-02-01,Eastern,Kasenengwa,Tested,7283
2018-02-01,Eastern,Katete,Confirmed,3680
2018-02-01,Eastern,Katete,Tested,16202
2018-02-01,Eastern,Lumezi,Confirmed,7481
2018-02-01,Eastern,Lumezi,Tested,14318
2018-02-01,Eastern,Lundazi,Confirmed,5357
2018-02-01,Eastern,Lundazi,Tested,14153
2018-02-01,Eastern,Lusangazi,Clinical,345
2018-02-01,Eastern,Lusangazi,Confirmed,2281
2018-02-01,Eastern,Lusangazi,Tested,7328
2018-02-01,Eastern,Mambwe,Confirmed,3934
2018-02-01,Eastern,Mambwe,Tested,11176
2018-02-01,Eastern,Nyimba,Clinical,2
2018-02-01,Eastern,Nyimba,Confirmed,2775
2018-02-01,Eastern,Nyimba,Tested,9237
2018-02-01,Eastern,Petauke,Clinical,7
2018-02-01,Eastern,Petauke,Confirmed,2772
2018-02-01,Eastern,Petauke,Confirmed_Passive_CHW,0
2018-02-01,Eastern,Petauke,Tested,15414
2018-02-01,Eastern,Petauke,Tested_Passive_CHW,0
2018-02-01,Eastern,Sinda,Confirmed,2100
2018-02-01,Eastern,Sinda,Tested,11122
2018-02-01,Eastern,Vubwi,Clinical,107
2018-02-01,Eastern,Vubwi,Confirmed,4003
2018-02-01,Eastern,Vubwi,Tested,7251
2018-02-01,Luapula,Chembe,Confirmed,3350
2018-02-01,Luapula,Chembe,Tested,4013
2018-02-01,Luapula,Chienge,Clinical,216
2018-02-01,Luapula,Chienge,Confirmed,2787
2018-02-01,Luapula,Chienge,Tested,4927
2018-02-01,Luapula,Chifunabuli,Clinical,211
2018-02-01,Luapula,Chifunabuli,Confirmed,3103
2018-02-01,Luapula,Chifunabuli,Tested,8612
2018-02-01,Luapula,Chipili,Clinical,10
2018-02-01,Luapula,Chipili,Confirmed,1919
2018-02-01,Luapula,Chipili,Tested,3870
2018-02-01,Luapula,Kawambwa,Clinical,4
2018-02-01,Luapula,Kawambwa,Confirmed,2204
2018-02-01,Luapula,Kawambwa,Tested,5104
2018-02-01,Luapula,Lunga,Confirmed,747
2018-02-01,Luapula,Lunga,Tested,1378
2018-02-01,Luapula,Mansa,Clinical,4743
2018-02-01,Luapula,Mansa,Confirmed,13290
2018-02-01,Luapula,Mansa,Tested,22235
2018-02-01,Luapula,Milenge,Clinical,57
2018-02-01,Luapula,Milenge,Confirmed,3291
2018-02-01,Luapula,Milenge,Tested,3984
2018-02-01,Luapula,Mwansabombwe,Clinical,21
2018-02-01,Luapula,Mwansabombwe,Confirmed,1509
2018-02-01,Luapula,Mwansabombwe,Tested,3352
2018-02-01,Luapula,Mwense,Clinical,55
2018-02-01,Luapula,Mwense,Confirmed,3705
