"","period","province","district","count"
"387","2018-04-01","Eastern","Vubwi",8932
"388","2018-04-01","Luapula","Chembe",2149
"389","2018-04-01","Luapula","Chienge",3384
"390","2018-04-01","Luapula","Chifunabuli",5333
"391","2018-04-01","Luapula","Chipili",1990
"392","2018-04-01","Luapula","Kawambwa",2428
"393","2018-04-01","Luapula","Lunga",683
"394","2018-04-01","Luapula","Mansa",15849
"395","2018-04-01","Luapula","Milenge",3771
"396","2018-04-01","Luapula","Mwansabombwe",1279
"397","2018-04-01","Luapula","Mwense",5964
"398","2018-04-01","Luapula","Nchelenge",4375
"399","2018-04-01","Luapula","Samfya",5427
"400","2018-04-01","Lusaka","Chilanga",347
"401","2018-04-01","Lusaka","Chirundu",468
"402","2018-04-01","Lusaka","Chongwe",832
"403","2018-04-01","Lusaka","Kafue",395
"404","2018-04-01","Lusaka","Luangwa",1134
"405","2018-04-01","Lusaka","Lusaka",4118
"406","2018-04-01","Lusaka","Rufunsa",6410
"407","2018-04-01","Muchinga","Chama",10090
"408","2018-04-01","Muchinga","Chinsali",5875
"409","2018-04-01","Muchinga","Isoka",4879
"410","2018-04-01","Muchinga","Kanchibiya",4747
"411","2018-04-01","Muchinga","Lavushimanda",2588
"412","2018-04-01","Muchinga","Mafinga",2311
"413","2018-04-01","Muchinga","Mpika",8636
"414","2018-04-01","Muchinga","Nakonde",690
"415","2018-04-01","Muchinga","Shiwang'andu",4518
"416","2018-04-01","Northern","Chilubi",3853
"417","2018-04-01","Northern","Kaputa",1563
"418","2018-04-01","Northern","Kasama",11509
"419","2018-04-01","Northern","Lunte",1432
"420","2018-04-01","Northern","Lupososhi",1500
"421","2018-04-01","Northern","Luwingu",2991
"422","2018-04-01","Northern","Mbala",2965
"423","2018-04-01","Northern","Mporokoso",842
"424","2018-04-01","Northern","Mpulungu",2111
"425","2018-04-01","Northern","Mungwi",7529
"426","2018-04-01","Northern","Nsama",624
"427","2018-04-01","Northern","Senga",4323
"428","2018-04-01","Northwestern","Chavuma",3555
"429","2018-04-01","Northwestern","Ikelenge",4210
"430","2018-04-01","Northwestern","Kabompo",4243
"431","2018-04-01","Northwestern","Kalumbila",13910
"432","2018-04-01","Northwestern","Kasempa",9278
"433","2018-04-01","Northwestern","Manyinga",4639
"434","2018-04-01","Northwestern","Mufumbwe",5995
"435","2018-04-01","Northwestern","Mushindamo",5374
"436","2018-04-01","Northwestern","Mwinilunga",8981
"437","2018-04-01","Northwestern","Solwezi",14322
"438","2018-04-01","Northwestern","Zambezi",11691
"439","2018-04-01","Southern","Chikankata",113
"440","2018-04-01","Southern","Choma",160
"441","2018-04-01","Southern","Gwembe",2732
"442","2018-04-01","Southern","Kalomo",533
"443","2018-04-01","Southern","Kazungula",440
"444","2018-04-01","Southern","Livingstone",73
"445","2018-04-01","Southern","Mazabuka",180
"446","2018-04-01","Southern","Monze",124
"447","2018-04-01","Southern","Namwala",81
"448","2018-04-01","Southern","Pemba",78
"449","2018-04-01","Southern","Siavonga",917
"450","2018-04-01","Southern","Sinazongwe",5645
"451","2018-04-01","Southern","Zimba",253
"452","2018-04-01","Western","Kalabo",11776
"453","2018-04-01","Western","Kaoma",19880
"454","2018-04-01","Western","Limulunga",5733
"455","2018-04-01","Western","Luampa",6995
"456","2018-04-01","Western","Lukulu",12733
"457","2018-04-01","Western","Mitete",3271
"458","2018-04-01","Western","Mongu",13935
"459","2018-04-01","Western","Mulobezi",5703
"460","2018-04-01","Western","Mwandi",1588
"461","2018-04-01","Western","Nalolo",4462
"462","2018-04-01","Western","Nkeyema",8087
"463","2018-04-01","Western","Senanga",15933
"464","2018-04-01","Western","Sesheke",2851
"465","2018-04-01","Western","Shang'ombo",6676
"466","2018-04-01","Western","Sikongo",4750
"467","2018-04-01","Western","Sioma",4041
"468","2018-04-01",NA,NA,79
"469","2018-05-01","Central","Chibombo",6700
"470","2018-05-01","Central","Chisamba",6222
"471","2018-05-01","Central","Chitambo",3025
"472","2018-05-01","Central","Itezhi-tezhi",1700
"473","2018-05-01","Central","Kabwe",8889
"474","2018-05-01","Central","Kapiri-Mposhi",32663
"475","2018-05-01","Central","Luano",5029
"476","2018-05-01","Central","Mkushi",9372
"477","2018-05-01","Central","Mumbwa",4003
"478","2018-05-01","Central","Ngabwe",1505
"479","2018-05-01","Central","Serenje",5931
"480","2018-05-01","Central","Shibuyunji",104
"481","2018-05-01","Copperbelt","Chililabombwe",3525
"482","2018-05-01","Copperbelt","Chingola",4604
"483","2018-05-01","Copperbelt","Kalulushi",6057
"484","2018-05-01","Copperbelt","Kitwe",12516
"485","2018-05-01","Copperbelt","Luanshya",10620
"486","2018-05-01","Copperbelt","Lufwanyama",13686
"487","2018-05-01","Copperbelt","Masaiti",14360
"488","2018-05-01","Copperbelt","Mpongwe",18291
"489","2018-05-01","Copperbelt","Mufulira",3311
"490","2018-05-01","Copperbelt","Ndola",5868
"491","2018-05-01","Eastern","Chadiza",10460
"492","2018-05-01","Eastern","Chasefu",9924
"493","2018-05-01","Eastern","Chipangali",25707
"494","2018-05-01","Eastern","Chipata",17701
"495","2018-05-01","Eastern","Kasenengwa",12436
"496","2018-05-01","Eastern","Katete",13546
"497","2018-05-01","Eastern","Lumezi",16799
"498","2018-05-01","Eastern","Lundazi",13967
"499","2018-05-01","Eastern","Lusangazi",6630
"500","2018-05-01","Eastern","Mambwe",14388
"501","2018-05-01","Eastern","Nyimba",11171
"502","2018-05-01","Eastern","Petauke",12818
"503","2018-05-01","Eastern","Sinda",11288
"504","2018-05-01","Eastern","Vubwi",7932
"505","2018-05-01","Luapula","Chembe",2058
"506","2018-05-01","Luapula","Chienge",4549
"507","2018-05-01","Luapula","Chifunabuli",4229
"508","2018-05-01","Luapula","Chipili",2211
"509","2018-05-01","Luapula","Kawambwa",3882
"510","2018-05-01","Luapula","Lunga",579
"511","2018-05-01","Luapula","Mansa",17155
"512","2018-05-01","Luapula","Milenge",3253
"513","2018-05-01","Luapula","Mwansabombwe",1948
"514","2018-05-01","Luapula","Mwense",6315
