,period,province,district,count
311,3/1/2018,Northwestern,Chavuma,3439
312,3/1/2018,Northwestern,Ikelenge,5570
313,3/1/2018,Northwestern,Kabompo,4772
314,3/1/2018,Northwestern,Kalumbila,6565
315,3/1/2018,Northwestern,Kasempa,9614
316,3/1/2018,Northwestern,Manyinga,5360
317,3/1/2018,Northwestern,Mufumbwe,5543
318,3/1/2018,Northwestern,Mushindamo,5453
319,3/1/2018,Northwestern,Mwinilunga,10071
320,3/1/2018,Northwestern,Solwezi,14290
321,3/1/2018,Northwestern,Zambezi,8175
322,3/1/2018,Southern,Chikankata,107
323,3/1/2018,Southern,Choma,129
324,3/1/2018,Southern,Gwembe,4163
325,3/1/2018,Southern,Kalomo,233
326,3/1/2018,Southern,Kazungula,234
327,3/1/2018,Southern,Livingstone,65
328,3/1/2018,Southern,Mazabuka,490
329,3/1/2018,Southern,Monze,71
330,3/1/2018,Southern,Namwala,34
331,3/1/2018,Southern,Pemba,75
332,3/1/2018,Southern,Siavonga,577
333,3/1/2018,Southern,Sinazongwe,6693
334,3/1/2018,Southern,Zimba,138
335,3/1/2018,Western,Kalabo,15253
336,3/1/2018,Western,Kaoma,15003
337,3/1/2018,Western,Limulunga,6272
338,3/1/2018,Western,Luampa,6988
339,3/1/2018,Western,Lukulu,11669
340,3/1/2018,Western,Mitete,3841
341,3/1/2018,Western,Mongu,15057
342,3/1/2018,Western,Mulobezi,4381
343,3/1/2018,Western,Mwandi,702
344,3/1/2018,Western,Nalolo,3709
345,3/1/2018,Western,Nkeyema,5610
346,3/1/2018,Western,Senanga,13647
347,3/1/2018,Western,Sesheke,2186
348,3/1/2018,Western,Shang'ombo,8243
349,3/1/2018,Western,Sikongo,5579
350,3/1/2018,Western,Sioma,4426
351,3/1/2018,NA,NA,76
352,4/1/2018,Central,Chibombo,6544
353,4/1/2018,Central,Chisamba,6157
354,4/1/2018,Central,Chitambo,4089
355,4/1/2018,Central,Itezhi-tezhi,1790
356,4/1/2018,Central,Kabwe,7807
357,4/1/2018,Central,Kapiri-Mposhi,36959
358,4/1/2018,Central,Luano,3243
359,4/1/2018,Central,Mkushi,10189
360,4/1/2018,Central,Mumbwa,3682
361,4/1/2018,Central,Ngabwe,1123
362,4/1/2018,Central,Serenje,6089
363,4/1/2018,Central,Shibuyunji,168
364,4/1/2018,Copperbelt,Chililabombwe,3543
365,4/1/2018,Copperbelt,Chingola,6019
366,4/1/2018,Copperbelt,Kalulushi,5495
367,4/1/2018,Copperbelt,Kitwe,14599
368,4/1/2018,Copperbelt,Luanshya,13501
369,4/1/2018,Copperbelt,Lufwanyama,16025
370,4/1/2018,Copperbelt,Masaiti,9693
371,4/1/2018,Copperbelt,Mpongwe,20626
372,4/1/2018,Copperbelt,Mufulira,1663
373,4/1/2018,Copperbelt,Ndola,5969
374,4/1/2018,Eastern,Chadiza,11663
375,4/1/2018,Eastern,Chasefu,9024
376,4/1/2018,Eastern,Chipangali,25419
377,4/1/2018,Eastern,Chipata,17353
378,4/1/2018,Eastern,Kasenengwa,7789
379,4/1/2018,Eastern,Katete,9778
380,4/1/2018,Eastern,Lumezi,16886
381,4/1/2018,Eastern,Lundazi,13755
382,4/1/2018,Eastern,Lusangazi,4851
383,4/1/2018,Eastern,Mambwe,9069
384,4/1/2018,Eastern,Nyimba,8572
385,4/1/2018,Eastern,Petauke,8852
386,4/1/2018,Eastern,Sinda,7455
387,4/1/2018,Eastern,Vubwi,8932
388,4/1/2018,Luapula,Chembe,2149
389,4/1/2018,Luapula,Chienge,3384
390,4/1/2018,Luapula,Chifunabuli,5333
391,4/1/2018,Luapula,Chipili,1990
392,4/1/2018,Luapula,Kawambwa,2428
393,4/1/2018,Luapula,Lunga,683
394,4/1/2018,Luapula,Mansa,15849
395,4/1/2018,Luapula,Milenge,3771
396,4/1/2018,Luapula,Mwansabombwe,1279
397,4/1/2018,Luapula,Mwense,5964
398,4/1/2018,Luapula,Nchelenge,4375
399,4/1/2018,Luapula,Samfya,5427
400,4/1/2018,Lusaka,Chilanga,347
401,4/1/2018,Lusaka,Chirundu,468
402,4/1/2018,Lusaka,Chongwe,832
403,4/1/2018,Lusaka,Kafue,395
404,4/1/2018,Lusaka,Luangwa,1134
405,4/1/2018,Lusaka,Lusaka,4118
406,4/1/2018,Lusaka,Rufunsa,6410
407,4/1/2018,Muchinga,Chama,10090
408,4/1/2018,Muchinga,Chinsali,5875
409,4/1/2018,Muchinga,Isoka,4879
410,4/1/2018,Muchinga,Kanchibiya,4747
411,4/1/2018,Muchinga,Lavushimanda,2588
412,4/1/2018,Muchinga,Mafinga,2311
413,4/1/2018,Muchinga,Mpika,8636
414,4/1/2018,Muchinga,Nakonde,690
415,4/1/2018,Muchinga,Shiwang'andu,4518
416,4/1/2018,Northern,Chilubi,3853
417,4/1/2018,Northern,Kaputa,1563
418,4/1/2018,Northern,Kasama,11509
419,4/1/2018,Northern,Lunte,1432
420,4/1/2018,Northern,Lupososhi,1500
421,4/1/2018,Northern,Luwingu,2991
422,4/1/2018,Northern,Mbala,2965
423,4/1/2018,Northern,Mporokoso,842
424,4/1/2018,Northern,Mpulungu,2111
425,4/1/2018,Northern,Mungwi,7529
426,4/1/2018,Northern,Nsama,624
427,4/1/2018,Northern,Senga,4323
428,4/1/2018,Northwestern,Chavuma,3555
429,4/1/2018,Northwestern,Ikelenge,4210
430,4/1/2018,Northwestern,Kabompo,4243
431,4/1/2018,Northwestern,Kalumbila,13910
432,4/1/2018,Northwestern,Kasempa,9278
433,4/1/2018,Northwestern,Manyinga,4639
434,4/1/2018,Northwestern,Mufumbwe,5995
435,4/1/2018,Northwestern,Mushindamo,5374
436,4/1/2018,Northwestern,Mwinilunga,8981
437,4/1/2018,Northwestern,Solwezi,14322
438,4/1/2018,Northwestern,Zambezi,11691
439,4/1/2018,Southern,Chikankata,113
440,4/1/2018,Southern,Choma,160
441,4/1/2018,Southern,Gwembe,2732
442,4/1/2018,Southern,Kalomo,533
443,4/1/2018,Southern,Kazungula,440
444,4/1/2018,Southern,Livingstone,73
445,4/1/2018,Southern,Mazabuka,180
446,4/1/2018,Southern,Monze,124
447,4/1/2018,Southern,Namwala,81
448,4/1/2018,Southern,Pemba,78
449,4/1/2018,Southern,Siavonga,917
450,4/1/2018,Southern,Sinazongwe,5645
451,4/1/2018,Southern,Zimba,253
452,4/1/2018,Western,Kalabo,11776
453,4/1/2018,Western,Kaoma,19880
454,4/1/2018,Western,Limulunga,5733
455,4/1/2018,Western,Luampa,6995
456,4/1/2018,Western,Lukulu,12733
457,4/1/2018,Western,Mitete,3271
458,4/1/2018,Western,Mongu,13935
459,4/1/2018,Western,Mulobezi,5703
460,4/1/2018,Western,Mwandi,1588
461,4/1/2018,Western,Nalolo,4462
462,4/1/2018,Western,Nkeyema,8087
463,4/1/2018,Western,Senanga,15933
464,4/1/2018,Western,Sesheke,2851
465,4/1/2018,Western,Shang'ombo,6676
466,4/1/2018,Western,Sikongo,4750
467,4/1/2018,Western,Sioma,4041
468,4/1/2018,NA,NA,79
469,5/1/2018,Central,Chibombo,6700
470,5/1/2018,Central,Chisamba,6222
471,5/1/2018,Central,Chitambo,3025
472,5/1/2018,Central,Itezhi-tezhi,1700
473,5/1/2018,Central,Kabwe,8889
474,5/1/2018,Central,Kapiri-Mposhi,32663
475,5/1/2018,Central,Luano,5029
476,5/1/2018,Central,Mkushi,9372
477,5/1/2018,Central,Mumbwa,4003
478,5/1/2018,Central,Ngabwe,1505
479,5/1/2018,Central,Serenje,5931
480,5/1/2018,Central,Shibuyunji,104
