period,province,district,Clinical,Confirmed,Tested,Confirmed_Passive_CHW,Tested_Passive_CHW
2018-03-01,Central,Itezhi-tezhi,NA,552,4101,687,2198
2018-03-01,Central,Kabwe,75,5888,18484,NA,NA
2018-03-01,Central,Kapiri-Mposhi,177,29683,29393,NA,NA
2018-03-01,Central,Luano,NA,3495,8191,NA,NA
2018-03-01,Central,Mkushi,47,8280,16634,NA,NA
2018-03-01,Central,Mumbwa,13,517,5263,858,4177
2018-03-01,Central,Ngabwe,1,782,3102,NA,NA
2018-03-01,Central,Serenje,25,7175,8419,NA,NA
2018-03-01,Central,Shibuyunji,19,58,830,12,190
2018-03-01,Copperbelt,Chililabombwe,65,3812,NA,NA,NA
2018-03-01,Copperbelt,Chingola,599,6704,2549,NA,NA
2018-03-01,Copperbelt,Kalulushi,35,6869,15008,NA,NA
2018-03-01,Copperbelt,Kitwe,4149,13716,21326,NA,NA
2018-03-01,Copperbelt,Luanshya,273,10111,9444,NA,NA
2018-03-01,Copperbelt,Lufwanyama,1149,14525,6394,NA,NA
2018-03-01,Copperbelt,Masaiti,606,10795,1232,NA,NA
2018-03-01,Copperbelt,Mpongwe,2306,14378,NA,NA,NA
2018-03-01,Copperbelt,Mufulira,589,2746,3537,NA,NA
2018-03-01,Copperbelt,Ndola,278,6425,23291,NA,NA
2018-03-01,Eastern,Chadiza,5,6174,14154,NA,NA
2018-03-01,Eastern,Chasefu,32,3236,9427,NA,NA
2018-03-01,Eastern,Chipangali,867,11965,28646,NA,NA
2018-03-01,Eastern,Chipata,3,10044,25878,NA,NA
2018-03-01,Eastern,Kasenengwa,NA,3112,10271,NA,NA
2018-03-01,Eastern,Katete,NA,5188,20840,NA,NA
2018-03-01,Eastern,Lumezi,NA,11519,19155,NA,NA
2018-03-01,Eastern,Lundazi,4,8410,17899,NA,NA
2018-03-01,Eastern,Lusangazi,1,2659,7684,NA,NA
2018-03-01,Eastern,Mambwe,NA,4153,13317,NA,NA
2018-03-01,Eastern,Nyimba,NA,3436,11265,NA,NA
2018-03-01,Eastern,Petauke,9,3554,19527,0,0
2018-03-01,Eastern,Sinda,3,2951,16851,NA,NA
2018-03-01,Eastern,Vubwi,1,6227,12291,NA,NA
